Lake name	Size (acres)	Max depth (ft)	Fish species	Fishing pressure
Bluebell, X-10	38.3	32	Brook and cutthroat trout (naturally reproducing)	Moderate
Doll, Y-16	42.5	47	Brook trout	Low
Drift Reservoir, Y-41	14.8	Unknown	Brook trout	Low
Five Point Reservoir, X-106	82	21	Brook and cutthroat trout	Moderate
Gem, Y-34	11.1	15	Brook trout (naturally reproducing)	Moderate
Kings, Y-22	10	Unknown	Cutthroat trout	Low
Little Superior, X-104	13.9	24	Brook trout	Low
Milk, Y-25	17.5	20	Brook trout	Low
North Star, X-108	14	15	Brook trout (naturally reproducing)	Moderate
Spider, X-109	20	31	Brook and cutthroat trout	High
Superior, X-103	36	26	Brook trout (naturally reproducing)	Moderate
Swasey, X-58	36	30	Brook and cutthroat trout (naturally reproducing)	High
Tungsten, X-107	13	13	Brook and cutthroat trout	Moderate
X-57	8.8	30	Brook trout (naturally reproducing)	Low
X-59	4.5	13	Brook and cutthroat trout	Moderate
X-60	8	30	Cutthroat trout (stocked)	Low
X-105	8.1	14	Cutthroat trout	Low
Y-2	1.8	20	Brook trout (naturally reproducing)	Low
Y-4	5.8	12	Brook trout (naturally reproducing)	Low
Y-5	1.8	6	Brook trout (naturally reproducing)	Low
Y-19	6.2	15	Brook trout	Low
Y-20	5	20	Arctic grayling	Low
Y-31	4.6	7	Brook trout (naturally reproducing)	Moderate
Y-36	14	15	Brook trout	Low
Y-37	13	12	Brook trout	Low
Ameba, X-90	4.6	4	Cutthroat trout (stocked)	Low
Aspen, X-63	8	26	Brook trout (stocked)	Moderate
Atwine, X-64	32	35	Brook trout (natural reproducing)	Moderate
Big Dog, X-32	6	12	Arctic grayling	Low
Brown Duck, X-31	30.7	12	Cutthroat trout (natural and stocked)	High
Clements, X-74	79.2	50	Cutthroat trout (naturally reproducing)	Moderate
Crater, X-94	28	147	Brook trout	Low
East Slide, LF-44	5	Unknown	Brook trout (stocked)	Low
Gates, LF-34	5.4	20	Brook trout	Low
Hook, X-81	21	19	Brook trout (stocked)	Low
Island, X-34	66	48	Cutthroat trout, Tiger trout	High
Kidney, X-35	190	112	Cuthroat and brook trout	Moderate
Lambert, LF-21	6.6	15	Brook trout (stocked)	Moderate
LF-8	7	17	Unknown	Low
LF-16	3	6	Brook trout (stocked)	Low
LF-35	1	6	Brook trout (natural reproducing)	Low
LF-37	1.9	3	Brook trout (stocked)	Low
LF-43	1.4	4	Brook trout	Low
Lilly Pad, X-37	1.4	8	Brook and cutthroat trout (naturally reproducing)	Moderate
Linda, LF-36	3.8	5	Brook trout	Low
Little Dog, X-33	4.5	17	Brook trout (stocked)	Low
Moon Lake	49.8	n/a	Brook trout, Mountain whitefish, Rainbow trout, Splake, Cutthroat trout, Kokanee salmon, Tiger trout, Arctic grayling	High
Mud, X-66	2.5	5	Brook trout (stocked)	Low
Oweep, LF-30	6.4	16	Brook trout	Low
Ottoson, Lower, X-88	9.1	8	Cutthroat trout (naturally reproducing)	Low
Ottoson, Upper, X-87	12.4	30	Cuthroat trout	Low
Picture, X-82	20	13	Rainbow trout	Low
Porcupine, LF-22	12.8	14	Brook trout (naturally reproducing)	Low
Stewart, X-79	9.2	22	Brook trout (stocked)	Low
Toquer, LF-25	11.1	32	Brook and cutthroat trout	Low
Twin, X-77	12.9	15	Brook trout (stocked)	Low
Tworoose, X-36	21.9	37	Cutthroat trout (naturally reproducing)	Moderate
X-61	5.2	10	Cutthroat trout	Low
X-62	6	10	Cutthroat trout	Low
X-75	4.4	6	Cutthroat trout	Low
X-78	17	18	Cutthroat trout	Low
X-80	4.6	5	Brook and cutthroat trout (naturally reproducing)	Low
X-84	4.6	18	Brook trout (stocked)	Low
X-85	4.7	14	Brook trout	Low
X-86	6.9	12	Brook trout (stocked)	Low
X-89	3.4	Unknown	Unknown	Low
Carrol, East, X-21	10	19	Cutthroat trout	Moderate
Carrol, Lower, X-17	9	7	Brook trout	Moderate
Carrol, Upper, X-18	35	48	Brook trout	Moderate
Deer, X-55	12	4	Brook and cutthroat trout (naturally reproducing)	High
Farmers, X-23	63	24	Brook trout (stocked)	Moderate
Grayling, X-56	8.5	33	Brook trout	High
Lily, S-15	20	39	Brook trout (stocked)	High
Timothy, Center, X-20	10	18	Brook trout (naturally reproducing)	High
Timothy, East, X-16	40	35	Cutthroat trout	High
Timothy, West, X-19	45	45	Brook trout	Moderate
Twin, X-49	14	15	Cutthroat trout	Moderate
White Miller, X-54	11	18	Brook trout (stocked)	High
X-22	9	8	Brook and cutthroat trout	Moderate
X-24	21.4	30	Cutthroat trout (stocked)	Low
X-25	15.9	27	Cutthroat trout	Moderate
X-26	7.7	23	Brook trout	Low
X-51	5	8	Cutthroat trout	Low
