letter_number,name,drainage,elevation_ft,size_acres,max_depth_ft,fish_species,fishing_pressure,low_pressure,remote_access,natural_repro,infrequent_stocking,big_fish_mentioned,productive_depth,elevation_sweet_spot,size_sweet_spot,tiger_trout,grayling,cutthroat,good_habitat,total_score,notes
GR-40,Hacking,Ashley Creek Drainage,10625,7.4,15,"Brookies*, Cutthroats, Rainbows, Tigers",,0,0,0,0,0,1,1,1,1,0,1,1,6,"Big fish potential, Good depth, Good elevation, Good size, Tigers, Cutthroat, Good habitat"
GR-45,Sandy,Ashley Creek Drainage,10500,5.6,10,Cutthroats,Low,1,0,0,1,0,0,1,1,0,0,1,1,6,"Light pressure, Infrequent stocking, Good elevation, Good size, Cutthroat, Good habitat"
GR-59,Shaw,Ashley Creek Drainage,10700,2.8,5,Cutthroats,Low,1,0,1,0,0,0,1,1,0,0,1,1,6,"Light pressure, Natural repro, Big fish potential, Good elevation, Good size, Cutthroat, Good habitat"
GR-9,Anson Lower,Sheep/Carter Creek Drainages,10575,14.5,20,"Brookies*, Cutthroats",Moderate,0,0,1,0,0,1,1,1,0,0,1,1,6,"natural repro, big fish potential, good depth (20ft), good elev (10575ft), good size (14.5ac), cutthroat, good habitat"
LF-16,,Lake Fork Drainage,10550,3.0,6,Brookies,Low,1,1,0,1,0,0,1,1,0,0,0,1,6,Light pressure; Remote/off-trail; Infrequent stocking; Good elevation; Good size (3.0ac); Good habitat
LF-21,Lambert,Lake Fork Drainage,10990,6.6,15,Brookies,Moderate,1,1,0,1,0,1,0,1,0,0,0,1,6,Light pressure; Remote/off-trail; Infrequent stocking; Good depth (15ft); Good size (6.6ac); Good habitat
LF-25,Toquer,Lake Fork Drainage,10470,11.1,32,"Brookies, Cutthroats",Low,1,0,0,0,0,1,1,1,0,0,1,1,6,Light pressure; Good depth (32ft); Good elevation; Good size (11.1ac); Cutthroat; Good habitat
LF-30,Oweep,Lake Fork Drainage,10865,6.4,16,"Brookies, Cutthroats",Low,1,0,0,1,0,1,0,1,0,0,1,1,6,Light pressure; Infrequent stocking; Good depth (16ft); Good size (6.4ac); Cutthroat; Good habitat
LF-34,Gates,Lake Fork Drainage,10450,5.4,20,Brookies,Low,1,0,0,1,0,1,1,1,0,0,0,1,6,Light pressure; Infrequent stocking; Good depth (20ft); Good elevation; Good size (5.4ac); Good habitat
P-62,Shingle Creek Lower,Provo River Drainage,9620,4.0,14,Brookies,Moderate,0,1,1,1,0,0,1,1,0,0,0,1,6,Remote/off-trail; Natural repro; Infrequent stocking; Big fish potential; Good elevation; Good size; Good habitat
RC-23,Arta,Rock Creek Drainage,10450,5.4,6,Cutthroats,Low,1,0,0,1,0,0,1,1,0,0,1,1,6,Light pressure; Infrequent stocking; Good elevation; Good size; Cutthroats; Good habitat
RC-38,Horseshoe,Rock Creek Drainage,10118,2.9,20,Brookies,Low,1,0,0,1,0,1,1,1,0,0,0,1,6,Light pressure; Infrequent stocking; Good depth; Good elevation; Good size; Good habitat
RC-8,Thompson,Rock Creek Drainage,10690,21.2,26,Brookies,Low,1,1,0,1,0,1,1,0,0,0,0,1,6,Light pressure; Remote/off-trail; Infrequent stocking; Good depth; Good elevation; Good habitat
S-15,Lily,Swift Creek Drainage,9346,20.0,39,Brookies,High,0,1,0,1,0,1,1,1,0,0,0,1,6,"remote/off-trail, infrequent stocking, big fish potential, good depth (39ft), good elev (9346ft), good size (20.0ac), good habitat"
U-13,Mt. Emmons,Uinta River Drainage,10990,15.5,21,"Brookies, Goldens",Low,1,0,1,1,0,1,0,1,0,0,0,1,6,"Light pressure, Natural repro, Infrequent stocking, Good depth, Good size, Good habitat"
U-15,Roberts,Uinta River Drainage,11550,23.3,38,"Brookies, Cutthroats",Low,1,1,0,1,0,1,0,0,0,0,1,1,6,"Light pressure, Remote/off-trail, Infrequent stocking, Good depth, Cutthroat, Good habitat"
U-5,Oke Doke,Uinta River Drainage,11320,12.9,38,Cutthroats,Low,1,0,0,1,0,1,0,1,0,0,1,1,6,"Light pressure, Infrequent stocking, Good depth, Good size, Cutthroat, Good habitat"
U-74,Beard,Uinta River Drainage,11740,9.0,15,Brookies,Low,1,1,0,1,1,1,0,1,0,0,0,0,6,"Light pressure, Remote/off-trail, Infrequent stocking, Good depth, Good size"
U-76,,Uinta River Drainage,11475,6.0,15,Cutthroats,Low,1,1,1,0,0,1,0,1,0,0,1,0,6,"Light pressure, Remote/off-trail, Natural repro, Good depth, Good size, Cutthroat"
U-85,Craig,Uinta River Drainage,10848,9.3,14,"Brookies, Cutthroats",Low,1,1,1,1,0,0,0,1,0,0,1,0,6,"Light pressure, Remote/off-trail, Natural repro, Infrequent stocking, Big fish potential, Good size, Cutthroat"
U-96,Bollie,Dry Gulch Drainage,10660,10.0,15,Cutthroats,Low,0,0,0,1,0,1,1,1,0,0,1,1,6,"infrequent stocking, good depth (15ft), good elev (10660ft), good size (10.0ac), cutthroat, good habitat"
W-27,Meadow,Weber River Drainage,9820,29.0,46,"Cutthroats, Tigers",High,0,0,1,0,0,1,1,0,1,0,1,1,6,Natural repro; Big fish potential; Good depth; Good elevation; Tigers; Cutthroats; Good habitat
W-28,Jerry,Weber River Drainage,10220,3.2,16,Brookies,Low,1,1,0,0,0,1,1,1,0,0,0,1,6,Light pressure; Remote/off-trail; Good depth; Good elevation; Good size; Good habitat
W-29,Anchor,Weber River Drainage,10380,13.0,50,Brookies,Moderate,0,1,1,0,0,1,1,1,0,0,0,1,6,Remote/off-trail; Natural repro; Big fish potential; Good depth; Good elevation; Good size; Good habitat
W-30,Abes,Weber River Drainage,9820,21.6,62,"Cutthroats, Tigers",High,0,1,0,1,0,0,1,0,1,0,1,1,6,Remote/off-trail; Infrequent stocking; Big fish potential; Good elevation; Tigers; Cutthroats; Good habitat
W-40,Kamas,Weber River Drainage,10500,17.1,42,Tigers,Moderate,0,1,0,0,0,1,1,1,1,0,0,1,6,Remote/off-trail; Good depth; Good elevation; Good size; Tigers; Good habitat
W-47,Fish,Weber River Drainage,10180,46.0,38,"Brookies, Grayling",High,0,1,1,0,0,1,1,0,0,1,0,1,6,Remote/off-trail; Natural repro; Big fish potential; Good depth; Good elevation; Grayling; Good habitat
W-51,Carol,Weber River Drainage,9860,3.0,25,Brookies,Low,1,1,0,0,0,1,1,1,0,0,0,1,6,Light pressure; Remote/off-trail; Good depth; Good elevation; Good size; Good habitat
W-62,,Weber River Drainage,9620,2.1,18,Brookies,Low,1,1,0,0,0,1,1,1,0,0,0,1,6,Light pressure; Remote/off-trail; Good depth; Good elevation; Good size; Good habitat
W-67,Castle,Weber River Drainage,9860,10.0,30,"Cutthroats, Tigers",Moderate,0,0,0,0,0,1,1,1,1,0,1,1,6,Big fish potential; Good depth; Good elevation; Good size; Tigers; Cutthroats; Good habitat
W-68,Arrowhead,Weber River Drainage,10100,2.1,26,Brookies,Moderate,0,1,1,0,0,1,1,1,0,0,0,1,6,Remote/off-trail; Natural repro; Good depth; Good elevation; Good size; Good habitat
WR-16,Middle Rock,White Rocks Drainage,10600,7.1,10,"Brookies*, Cutthroats",Low,1,0,0,1,0,0,1,1,0,0,1,1,6,"Light pressure, Infrequent stocking, Big fish potential, Good elevation, Good size, Cutthroat, Good habitat"
WR-19,,White Rocks Drainage,10500,11.4,18,Cutthroats,Low,0,0,0,1,0,1,1,1,0,0,1,1,6,"Infrequent stocking, Good depth, Good elevation, Good size, Cutthroat, Good habitat"
WR-2,RC #1,White Rocks Drainage,10650,10.0,16,"Brookies, Cutthroats",Low,1,0,0,1,0,1,1,1,0,0,1,0,6,"Light pressure, Infrequent stocking, Good depth, Good elevation, Good size, Cutthroat"
WR-34,,White Rocks Drainage,11200,9.0,20,Brookies,Low,1,1,0,1,0,1,0,1,0,0,0,1,6,"Light pressure, Remote/off-trail, Infrequent stocking, Good depth, Good size, Good habitat"
WR-4,Quent,White Rocks Drainage,10620,55.4,44,Brookies,High,1,1,0,1,0,1,1,0,0,0,0,1,6,"Light pressure, Remote/off-trail, Infrequent stocking, Big fish potential, Good depth, Good elevation, Good habitat"
WR-46,Whiterocks Reservoir Lake,White Rocks Drainage,10800,67.0,42,"Brookies, Cutthroats",High,1,0,1,0,0,1,1,0,0,0,1,1,6,"Light pressure, Natural repro, Good depth, Good elevation, Cutthroat, Good habitat"
WR-48,Watkins,White Rocks Drainage,10390,18.4,36,Brookies,Low,1,0,0,1,0,1,1,1,0,0,0,1,6,"Light pressure, Infrequent stocking, Good depth, Good elevation, Good size, Good habitat"
WR-50,Workman,White Rocks Drainage,10500,20.0,14,"Brookies, Cutthroats",Moderate,1,0,1,0,0,0,1,1,0,0,1,1,6,"Light pressure, Natural repro, Big fish potential, Good elevation, Good size, Cutthroat, Good habitat"
WR-53,Mocassin,White Rocks Drainage,10700,18.9,27,"Brookies, Cutthroats",Moderate,0,0,0,1,0,1,1,1,0,0,1,1,6,"Infrequent stocking, Big fish potential, Good depth, Good elevation, Good size, Cutthroat, Good habitat"
WR-56,Figure-Eight,White Rocks Drainage,10660,3.6,5,Cutthroats,Low,1,0,1,0,0,0,1,1,0,0,1,1,6,"Light pressure, Natural repro, Good elevation, Good size, Cutthroat, Good habitat"
WR-6,Point (Adams),White Rocks Drainage,10720,16.1,21,Brookies,Low,1,0,0,1,0,1,1,1,0,0,0,1,6,"Light pressure, Infrequent stocking, Good depth, Good elevation, Good size, Good habitat"
WR-67,Horseshoe,White Rocks Drainage,10860,11.3,14,Cutthroats,Low,1,1,0,1,0,0,0,1,0,0,1,1,6,"Light pressure, Remote/off-trail, Infrequent stocking, Big fish potential, Good size, Cutthroat, Good habitat"
X-1,Shawdow,Rock Creek Drainage,9940,7.2,22,"Brookies, Cutthroats",Moderate,0,0,1,0,0,1,1,1,0,0,1,1,6,Natural repro; Big fish potential; Good depth; Good elevation; Good size; Cutthroats; Good habitat
X-105,,Yellowstone Drainage,11456,8.1,14,Cutthroats,Low,1,1,0,1,0,0,0,1,0,0,1,1,6,light pressure; remote/off-trail; infrequent stocking; good size (8.1ac); cutthroat; good habitat
X-11,Marsell,Duchesne River Drainage,10470,16.4,50,Cutthroats,Moderate,0,0,0,1,0,1,1,1,0,0,1,1,6,Infrequent stocking; Good depth (50ft); Good elevation; Good size (16.4ac); Cutthroat; Good habitat
X-112,Ouray,Rock Creek Drainage,10380,4.0,6,"Brookies, Cutthroats",Moderate,0,0,1,1,0,0,1,1,0,0,1,1,6,Natural repro; Infrequent stocking; Good elevation; Good size; Cutthroats; Good habitat
X-124,Boot,Rock Creek Drainage,11096,9.1,17,Cutthroats,Low,1,0,1,0,0,1,0,1,0,0,1,1,6,Light pressure; Natural repro; Good depth; Good size; Cutthroats; Good habitat
X-127,Lightning,Rock Creek Drainage,10819,14.1,23,"Brookies, Cutthroats",Moderate,1,0,0,1,0,1,0,1,0,0,1,1,6,Light pressure; Infrequent stocking; Good depth; Good size; Cutthroats; Good habitat
X-132,Black,Rock Creek Drainage,10403,11.8,14,"Brookies, Cutthroats",High,0,0,1,1,0,0,1,1,0,0,1,1,6,Natural repro; Infrequent stocking; Big fish potential; Good elevation; Good size; Cutthroats; Good habitat
X-14,Farney,Duchesne River Drainage,10320,12.6,14,Grayling,Low,1,1,0,0,0,0,1,1,0,1,0,1,6,Light pressure; Remote/off-trail; Big fish potential; Good elevation; Good size (12.6ac); Grayling; Good habitat
X-24,,Swift Creek Drainage,10919,21.4,30,Cutthroats,Low,1,1,0,1,0,1,0,0,0,0,1,1,6,"light pressure, remote/off-trail, infrequent stocking, good depth (30ft), cutthroat, good habitat"
X-25,,Swift Creek Drainage,10966,15.9,27,Cutthroats,Moderate,1,0,0,1,0,1,0,1,0,0,1,1,6,"light pressure, infrequent stocking, good depth (27ft), good size (15.9ac), cutthroat, good habitat"
X-57,,Yellowstone Drainage,10976,8.8,30,Brookies,Low,1,1,1,1,0,1,0,1,0,0,0,0,6,light pressure; remote/off-trail; natural repro; infrequent stocking; good depth (30ft); good size (8.8ac)
X-61,,Lake Fork Drainage,10265,5.2,10,Cutthroats,Low,1,0,0,1,0,0,1,1,0,0,1,1,6,Light pressure; Infrequent stocking; Good elevation; Good size (5.2ac); Cutthroat; Good habitat
X-62,,Lake Fork Drainage,10300,6.0,10,Cutthroats,Low,1,0,0,1,0,0,1,1,0,0,1,1,6,Light pressure; Infrequent stocking; Good elevation; Good size (6.0ac); Cutthroat; Good habitat
X-63,Aspen,Lake Fork Drainage,10255,8.0,26,Brookies,Moderate,0,1,0,1,0,1,1,1,0,0,0,1,6,Remote/off-trail; Infrequent stocking; Good depth (26ft); Good elevation; Good size (8.0ac); Good habitat
X-74,Clements,Lake Fork Drainage,10444,79.2,50,Cutthroats,Moderate,0,1,0,1,0,1,1,0,0,0,1,1,6,Remote/off-trail; Infrequent stocking; Big fish potential; Good depth (50ft); Good elevation; Cutthroat; Good habitat
X-75,,Lake Fork Drainage,10450,4.4,6,Cutthroats,Low,1,0,1,0,0,0,1,1,0,0,1,1,6,Light pressure; Natural repro; Good elevation; Good size (4.4ac); Cutthroat; Good habitat
X-82,Picture,Lake Fork Drainage,10731,20.0,13,Rainbows,Low,1,1,0,1,0,0,1,1,0,0,0,1,6,Light pressure; Remote/off-trail; Infrequent stocking; Good elevation; Good size (20.0ac); Good habitat
X-84,,Lake Fork Drainage,10815,4.6,18,Brookies,Low,1,1,0,1,0,1,0,1,0,0,0,1,6,Light pressure; Remote/off-trail; Infrequent stocking; Good depth (18ft); Good size (4.6ac); Good habitat
X-87,Ottoson Upper,Lake Fork Drainage,,12.4,30,Cutthroats,Low,1,1,0,1,0,1,0,1,0,0,1,0,6,Light pressure; Remote/off-trail; Infrequent stocking; Good depth (30ft); Good size (12.4ac); Cutthroat
X-9,GranDaddy,Rock Creek Drainage,10310,173.0,40,"Brookies, Cutthroats",High,0,0,1,1,0,1,1,0,0,0,1,1,6,Natural repro; Infrequent stocking; Big fish potential; Good depth; Good elevation; Cutthroats; Good habitat
X-90,Ameba,Lake Fork Drainage,10850,4.6,4,Cutthroats,Low,1,1,0,1,0,0,0,1,0,0,1,1,6,Light pressure; Remote/off-trail; Infrequent stocking; Good size (4.6ac); Cutthroat; Good habitat
X-98,Shamrock,Rock Creek Drainage,10365,18.2,33,Brookies,Moderate,0,1,0,1,0,1,1,1,0,0,0,1,6,Remote/off-trail; Infrequent stocking; Good depth; Good elevation; Good size; Good habitat
Z-10,Hoover,Duchesne River Drainage,9900,18.6,28,"Brookies, Cutthroats",High,0,1,0,0,0,1,1,1,0,0,1,1,6,Remote/off-trail; Good depth (28ft); Good elevation; Good size (18.6ac); Cutthroat; Good habitat
Z-27,Morat #2,Duchesne River Drainage,10740,3.6,5,Cutthroats,Moderate,0,1,1,0,0,0,1,1,0,0,1,1,6,Remote/off-trail; Natural repro; Good elevation; Good size (3.6ac); Cutthroat; Good habitat
Z-32,Blue,Duchesne River Drainage,10940,19.0,36,Tigers,,0,1,0,1,0,1,0,1,1,0,0,1,6,Remote/off-trail; Infrequent stocking; Good depth (36ft); Good size (19.0ac); Tigers; Good habitat
Z-42,Carolyn,Duchesne River Drainage,10430,5.0,17,"Brookies, Cutthroats",Moderate,0,0,1,0,0,1,1,1,0,0,1,1,6,Natural repro; Good depth (17ft); Good elevation; Good size (5.0ac); Cutthroat; Good habitat
A-19,Little Elk,Provo River Drainage,9780,13.2,31,Cutthroats,Moderate,0,0,0,0,0,1,1,1,0,0,1,1,5,Good depth; Good elevation; Good size; Cutthroats; Good habitat
A-28,Clyde,Provo River Drainage,10420,16.0,21,Brookies,High,0,1,0,0,0,1,1,1,0,0,0,1,5,Remote/off-trail; Big fish potential; Good depth; Good elevation; Good size; Good habitat
A-32,Twin Upper,Provo River Drainage,10420,9.0,13,"Brookies, Tigers",High,0,0,0,1,0,0,1,1,1,0,0,1,5,Infrequent stocking; Big fish potential; Good elevation; Good size; Tigers; Good habitat
A-37,Long,Provo River Drainage,10100,35.0,26,"Brookies, Cutthroats",High,0,0,1,0,0,1,1,0,0,0,1,1,5,Natural repro; Big fish potential; Good depth; Good elevation; Cutthroats; Good habitat
A-39,Shingle Creek East,Provo River Drainage,9700,7.0,44,"Brookies, Tigers",High,0,0,0,0,0,1,1,1,1,0,0,1,5,Big fish potential; Good depth; Good elevation; Good size; Tigers; Good habitat
A-42,Star,Provo River Drainage,9980,16.0,35,"Brookies, Tigers",High,0,0,0,0,0,1,1,1,1,0,0,1,5,Big fish potential; Good depth; Good elevation; Good size; Tigers; Good habitat
A-43,Lillian,Provo River Drainage,10100,2.0,8,Brookies,Low,1,1,0,0,0,0,1,1,0,0,0,1,5,Light pressure; Remote/off-trail; Good elevation; Good size; Good habitat
A-44,Spectacle (Hourglass),Provo River Drainage,9740,9.3,17,Brookies,Moderate,0,1,0,0,0,1,1,1,0,0,0,1,5,Remote/off-trail; Big fish potential; Good depth; Good elevation; Good size; Good habitat
A-5,Blue,Provo River Drainage,9680,8.0,26,Brookies,High,0,1,0,0,0,1,1,1,0,0,0,1,5,Remote/off-trail; Big fish potential; Good depth; Good elevation; Good size; Good habitat
A-53,Tail,Provo River Drainage,9980,9.8,13,"Brookies, Cutthroats, Rainbows",High,0,0,1,0,0,0,1,1,0,0,1,1,5,Natural repro; Big fish potential; Good elevation; Good size; Cutthroats; Good habitat
A-57,Island,Provo River Drainage,10140,28.0,40,"Brookies*, Cutthroats, Tigers",High,0,0,0,0,0,1,1,0,1,0,1,1,5,Good depth; Good elevation; Tigers; Cutthroats; Good habitat
A-62,Long Pond,Provo River Drainage,10100,2.0,5,"Brookies, Cutthroats",Moderate,0,0,1,0,0,0,1,1,0,0,1,1,5,Natural repro; Good elevation; Good size; Cutthroats; Good habitat
A-8,Pot,Provo River Drainage,9940,4.0,28,Brookies,High,0,1,0,0,0,1,1,1,0,0,0,1,5,Remote/off-trail; Big fish potential; Good depth; Good elevation; Good size; Good habitat
A-9,Haystack,Provo River Drainage,9940,17.0,29,"Brookies, Cutthroats",High,0,0,0,0,0,1,1,1,0,0,1,1,5,Big fish potential; Good depth; Good elevation; Good size; Cutthroats; Good habitat
BR-14,Mcpheters,Bear River Drainage,10860,28.3,45,Tigers,Moderate,0,1,1,0,0,1,0,0,1,0,0,1,5,Remote/off-trail; Natural repro; Good depth (45ft); Tigers; Good habitat
BR-16,,Bear River Drainage,10610,1.3,5,"Brookies, Cutthroats",Low,1,0,1,0,0,0,1,0,0,0,1,1,5,Light pressure; Natural repro; Big fish potential; Good elevation; Cutthroat; Good habitat
BR-17,,Bear River Drainage,10630,2.8,7,Brookies,Moderate,1,0,1,0,0,0,1,1,0,0,0,1,5,Light pressure; Natural repro; Good elevation; Good size (2.8ac); Good habitat
BR-18,,Bear River Drainage,10610,5.5,12,Brookies,Low,1,0,1,0,0,0,1,1,0,0,0,1,5,Light pressure; Natural repro; Good elevation; Good size (5.5ac); Good habitat
BR-19,Meadow Lake,Bear River Drainage,10470,2.8,5,Brookies,Low,1,0,1,0,0,0,1,1,0,0,0,1,5,Light pressure; Natural repro; Big fish potential; Good elevation; Good size (2.8ac); Good habitat
BR-2,,Bear River Drainage,9780,0.7,5,Brookies,Low,1,0,1,1,0,0,1,0,0,0,0,1,5,Light pressure; Natural repro; Infrequent stocking; Good elevation; Good habitat
BR-24,,Bear River Drainage,10460,2.3,10,Tigers,Low,1,0,0,0,0,0,1,1,1,0,0,1,5,Light pressure; Good elevation; Good size (2.3ac); Tigers; Good habitat
BR-25,Toomset,Bear River Drainage,10300,2.3,11,Brookies,Low,1,0,1,0,0,0,1,1,0,0,0,1,5,Light pressure; Natural repro; Good elevation; Good size (2.3ac); Good habitat
BR-26,Salamander lake,Bear River Drainage,10020,3.7,13,Brookies,Low,1,0,0,1,0,0,1,1,0,0,0,1,5,Light pressure; Infrequent stocking; Big fish potential; Good elevation; Good size (3.7ac); Good habitat
BR-27,Ostler,Bear River Drainage,10540,13.2,14,Tigers,Moderate,0,1,0,0,0,0,1,1,1,0,0,1,5,Remote/off-trail; Good elevation; Good size (13.2ac); Tigers; Good habitat
BR-29,Hell Hole,Bear River Drainage,10340,9.1,9,Cutthroats,,1,0,1,0,0,0,1,1,0,0,1,0,5,Light pressure; Natural repro; Big fish potential; Good elevation; Good size (9.1ac); Cutthroat
BR-31,Seidner,Bear River Drainage,10460,3.0,8,Brookies,Moderate,0,1,1,0,0,0,1,1,0,0,0,1,5,Remote/off-trail; Natural repro; Big fish potential; Good elevation; Good size (3.0ac); Good habitat
BR-41,,Bear River Drainage,10412,3.4,19,,,0,1,0,0,0,1,1,1,0,0,0,1,5,Remote/off-trail; Good depth (19ft); Good elevation; Good size (3.4ac); Good habitat
BR-7,Lym,Bear River Drainage,10115,8.1,20,Brookies,Moderate,0,0,1,0,0,1,1,1,0,0,0,1,5,Natural repro; Big fish potential; Good depth (20ft); Good elevation; Good size (8.1ac); Good habitat
BR-8,Mt Elizabeth,Bear River Drainage,9984,3.1,15,Cutthroats,Moderate,0,0,1,0,0,1,1,1,0,0,1,0,5,Natural repro; Good depth (15ft); Good elevation; Good size (3.1ac); Cutthroat
D-19,,Duchesne River Drainage,10000,1.2,6,"Brookies, Cutthroats",Moderate,1,0,0,1,0,0,1,0,0,0,1,1,5,Light pressure; Infrequent stocking; Big fish potential; Good elevation; Cutthroat; Good habitat
D-26,,Duchesne River Drainage,10060,3.0,10,Brookies,Moderate,0,1,0,1,0,0,1,1,0,0,0,1,5,Remote/off-trail; Infrequent stocking; Good elevation; Good size (3.0ac); Good habitat
DF-4,,Ashley Creek Drainage,10830,10.0,23,Cutthroats,Low,0,1,0,0,0,1,0,1,0,0,1,1,5,"Remote/off-trail, Good depth, Good size, Cutthroat, Good habitat"
DG-10,,Dry Gulch Drainage,10750,10.0,12,Cutthroats,Low,0,0,0,1,0,0,1,1,0,0,1,1,5,"infrequent stocking, good elev (10750ft), good size (10.0ac), cutthroat, good habitat"
DG-14,,Dry Gulch Drainage,11000,2.0,10,Cutthroats,Low,0,1,0,1,0,0,0,1,0,0,1,1,5,"remote/off-trail, infrequent stocking, good size (2.0ac), cutthroat, good habitat"
DG-17,,Dry Gulch Drainage,10950,3.0,12,Cutthroats,Low,0,0,1,1,0,0,0,1,0,0,1,1,5,"natural repro, infrequent stocking, big fish potential, good size (3.0ac), cutthroat, good habitat"
DG-28,Heller Reservoir,Dry Gulch Drainage,10108,12.0,37,"Brookies*, Cutthroats",High,0,0,0,0,0,1,1,1,0,0,1,1,5,"big fish potential, good depth (37ft), good elev (10108ft), good size (12.0ac), cutthroat, good habitat"
DG-7,,Dry Gulch Drainage,10550,6.0,4,Cutthroats,Low,0,0,1,0,0,0,1,1,0,0,1,1,5,"natural repro, good elev (10550ft), good size (6.0ac), cutthroat, good habitat"
DG-8,,Dry Gulch Drainage,10550,7.0,8,Cutthroats,Low,0,0,1,0,0,0,1,1,0,0,1,1,5,"natural repro, good elev (10550ft), good size (7.0ac), cutthroat, good habitat"
G-1,Henrys Fork Lake,Henrys Fork Drainage,10830,19.7,19,Cutthroats,Moderate,0,0,1,0,0,1,0,1,0,0,1,1,5,"natural repro, big fish potential, good depth (19ft), good size (19.7ac), cutthroat, good habitat"
G-100,,Blacks Fork Drainage,9070,7.9,13,Brookies,Low,1,0,1,0,0,0,1,1,0,0,0,1,5,light pressure; natural repro; good elev (9070ft); good size (7.9ac); good habitat
G-11,Castle,Blacks Fork Drainage,11363,11.5,10,Brookies,Low,1,1,0,1,0,0,0,1,0,0,0,1,5,light pressure; remote/off-trail; infrequent stocking; good size (11.5ac); good habitat
G-15,Red Castle,Smiths Fork Drainage,11295,168.2,103,"Cutthroats, Tigers",High,1,1,0,0,0,0,0,0,1,0,1,1,5,light pressure; remote/off-trail; big fish potential; tigers; cutthroat; good habitat
G-2,Dollar Lake,Henrys Fork Drainage,10785,9.7,18,"Brookies, Cutthroats",Moderate,0,0,0,0,0,1,1,1,0,0,1,1,5,"big fish potential, good depth (18ft), good elev (10785ft), good size (9.7ac), cutthroat, good habitat"
G-21,China,Smiths Fork Drainage,9408,31.2,45,"Brookies, Cutthroats, Grayling",Moderate,0,0,0,0,0,1,1,0,0,1,1,1,5,big fish potential; good depth (45ft); good elev (9408ft); grayling; cutthroat; good habitat
G-35,Sargent,Smiths Fork Drainage,9690,8.3,22,Trout,Low,0,0,1,0,0,1,1,1,0,0,0,1,5,natural repro; big fish potential; good depth (22ft); good elev (9690ft); good size (8.3ac); good habitat
G-36,,Smiths Fork Drainage,9430,4.7,11,Trout,Low,1,0,1,0,0,0,1,1,0,0,0,1,5,light pressure; natural repro; good elev (9430ft); good size (4.7ac); good habitat
G-44,,Blacks Fork Drainage,11140,1.5,7,Cutthroats,Low,1,1,1,0,0,0,0,0,0,0,1,1,5,light pressure; remote/off-trail; natural repro; cutthroat; good habitat
G-50,,Smiths Fork Drainage,10639,3.7,5,Brookies,Moderate,0,1,1,0,0,0,1,1,0,0,0,1,5,remote/off-trail; natural repro; good elev (10639ft); good size (3.7ac); good habitat
G-53,,Smiths Fork Drainage,11180,5.5,17,"Brookies, Cutthroats",Moderate,0,0,1,0,0,1,0,1,0,0,1,1,5,natural repro; good depth (17ft); good size (5.5ac); cutthroat; good habitat
G-61,,Smiths Fork Drainage,10669,3.1,6,Brookies,Low,1,1,0,0,0,0,1,1,0,0,0,1,5,light pressure; remote/off-trail; big fish potential; good elev (10669ft); good size (3.1ac); good habitat
G-62,,Blacks Fork Drainage,10630,2.2,7,Brookies,Low,1,0,1,0,0,0,1,1,0,0,0,1,5,light pressure; natural repro; good elev (10630ft); good size (2.2ac); good habitat
G-65,,Blacks Fork Drainage,10900,4.4,5,Brookies,Moderate,1,1,1,0,0,0,0,1,0,0,0,1,5,light pressure; remote/off-trail; natural repro; big fish potential; good size (4.4ac); good habitat
G-67,,Blacks Fork Drainage,11158,7.1,25,Brookies,Low,0,1,0,1,0,1,0,1,0,0,0,1,5,remote/off-trail; infrequent stocking; good depth (25ft); good size (7.1ac); good habitat
G-7,Bear,Henrys Fork Drainage,10767,16.9,37,Brookies,Moderate,0,1,0,0,0,1,1,1,0,0,0,1,5,"remote/off-trail, big fish potential, good depth (37ft), good elev (10767ft), good size (16.9ac), good habitat"
G-73,Bobs,Blacks Fork Drainage,11150,6.1,30,"Cutthroats, Tigers",Low,0,0,0,0,0,1,0,1,1,0,1,1,5,big fish potential; good depth (30ft); good size (6.1ac); tigers; cutthroat; good habitat
G-74,,Blacks Fork Drainage,10934,2.9,3,Brookies,Low,1,1,0,1,0,0,0,1,0,0,0,1,5,light pressure; remote/off-trail; infrequent stocking; good size (2.9ac); good habitat
G-76,Ejod,Blacks Fork Drainage,10900,5.7,12,Cutthroats,Low,1,0,1,0,0,0,0,1,0,0,1,1,5,light pressure; natural repro; good size (5.7ac); cutthroat; good habitat
G-77,Dead Horse,Blacks Fork Drainage,10878,14.8,41,"Cutthroats, Tigers",Moderate,0,0,0,0,0,1,0,1,1,0,1,1,5,big fish potential; good depth (41ft); good size (14.8ac); tigers; cutthroat; good habitat
G-8,Grass,Henrys Fork Drainage,10740,5.5,4,"Brookies, Cutthroats",Moderate,0,0,1,0,0,0,1,1,0,0,1,1,5,"natural repro, good elev (10740ft), good size (5.5ac), cutthroat, good habitat"
G-80,,Blacks Fork Drainage,10580,1.6,8,Brookies,Low,1,1,0,1,0,0,1,0,0,0,0,1,5,light pressure; remote/off-trail; infrequent stocking; good elev (10580ft); good habitat
G-82,,Blacks Fork Drainage,10140,3.7,6,Brookies,Low,0,1,0,1,0,0,1,1,0,0,0,1,5,remote/off-trail; infrequent stocking; good elev (10140ft); good size (3.7ac); good habitat
GR-11,,Ashley Creek Drainage,10635,2.6,8,Brookies,Low,1,0,1,0,0,0,1,1,0,0,0,1,5,"Light pressure, Natural repro, Good elevation, Good size, Good habitat"
