UINTA MOUNTAINS LAKE DATABASE DUMP
==================================================

Total Lakes: 669


--- Ashley Creek Drainage ---
DF-1     | Blue                      | 6.5ac    | 16ft   | Moderate | [Norrick]
P-62     | Shingle Creek Lower       | 4.0ac    | 14ft   | Moderate | [Norrick]
P-8      | Norway Flats              | ?ac      | ?ft    | ?        | 
P-9      | (No name)                 | ?ac      | ?ft    | ?        | 

--- Rock Creek Drainage ---
RC-11    | Sea Lion                  | 7.9ac    | 11ft   | Low      | [Norrick]
RC-115   | Francis                   | ?ac      | ?ft    | ?        | 
RC-14    | Slide                     | ?ac      | ?ft    | ?        | 
RC-20    | Survey                    | 6.0ac    | 12ft   | Low      | [Norrick]
RC-23    | Arta                      | 5.4ac    | 6ft    | Low      | [Norrick]
RC-3     | Huntley                   | 1.2ac    | 9ft    | Low      | [Norrick]
RC-30    | Gibby                     | 1.9ac    | 25ft   | Moderate | [Norrick]
RC-36    | (No name)                 | ?ac      | ?ft    | ?        | 
RC-38    | Horseshoe                 | 2.9ac    | 20ft   | Low      | [Norrick]
RC-4     | Brinkley                  | 4.2ac    | 18ft   | High     | [Norrick]
RC-42    | Cabin                     | 4.3ac    | 16ft   | Low      | [Norrick]
RC-43    | Bear                      | ?ac      | ?ft    | ?        | 
RC-44    | Bomb                      | ?ac      | ?ft    | ?        | 
RC-45    | Audrey                    | 13.2ac   | 25ft   | Low      | [Norrick]
RC-8     | Thompson                  | 21.2ac   | 26ft   | Low      | [Norrick]
X-1      | Shawdow                   | 7.2ac    | 22ft   | Moderate | [Norrick]
X-10     | Mohawk                    | 38.3ac   | 32ft   | Moderate | [Norrick]
X-100    | Young                     | 4.0ac    | 19ft   | Low      | [Norrick]
X-111    | Jill                      | 3.6ac    | 25ft   | Moderate | [Norrick]
X-112    | Ouray                     | 4.0ac    | 6ft    | Moderate | [Norrick]
X-113    | Ledge                     | 3.1ac    | 13ft   | Moderate | [Norrick]
X-117    | Anderson                  | 5.8ac    | 12ft   | High     | [Norrick]
X-119    | Phinney                   | 13.6ac   | 30ft   | Moderate | [Norrick]
X-121    | Continent                 | 27.4ac   | 23ft   | Moderate | [Norrick]
X-122    | Fall                      | ?ac      | ?ft    | ?        | 
X-123    | Doug                      | 1.0ac    | 8ft    | Low      | [Norrick]
X-124    | Boot                      | 9.1ac    | 17ft   | Low      | [Norrick]
X-125    | Reconnaissance            | 8.8ac    | 30ft   | Low      | [Norrick]
X-126    | Helen                     | 8.4ac    | 14ft   | Moderate | [Norrick]
X-127    | Lightning                 | 14.1ac   | 23ft   | Moderate | [Norrick]
X-128    | Gladys                    | 7.5ac    | 6ft    | Moderate | [Norrick]
X-129    | Margie                    | 7.5ac    | 11ft   | Low      | [Norrick]
X-13     | Heart                     | 5.7ac    | 19ft   | High     | [Norrick]
X-130    | Rosalie                   | 8.1ac    | 8ft    | Low      | [Norrick]
X-131    | Uintah                    | 8.4ac    | 14ft   | Low      | [Norrick]
X-132    | Black                     | 11.8ac   | 14ft   | High     | [Norrick]
X-133    | Jack                      | 2.7ac    | 14ft   | Moderate | [Norrick]
X-15     | Doc's                     | 14.5ac   | 45ft   | Low      | [Norrick]
X-2      | Lily Pad                  | 9.5ac    | 14ft   | Moderate | [Norrick]
X-22     | Pinto                     | 9.0ac    | 8ft    | Moderate | [Norrick]
X-3      | Lodgepole                 | 20.4ac   | 29ft   | Moderate | [Norrick]
X-39     | Rudolph 1                 | 25.6ac   | 46ft   | Moderate | [Norrick]
X-40     | Rudolph 2                 | 2.9ac    | 9ft    | Moderate | [Norrick]
X-41     | Rudolph 3                 | 2.4ac    | 14ft   | Low      | [Norrick]
X-42     | Mid                       | 5.1ac    | 3ft    | Moderate | [Norrick]
X-43     | Diamond                   | 13.0ac   | 45ft   | Moderate | [Norrick]
X-5      | Fern                      | 19.3ac   | 19ft   | Moderate | [Norrick]
X-6      | Fish Hatchery             | 37.2ac   | 28ft   | High     | [Norrick]
X-7      | Betsey                    | 33.8ac   | 44ft   | High     | [Norrick]
X-8      | Pine Island               | 79.6ac   | 44ft   | High     | [Norrick]
X-9      | GranDaddy                 | 173.0ac  | 40ft   | High     | [Norrick]
X-95     | Squaw                     | 10.4ac   | 9ft    | High     | [Norrick]
X-96     | Rock 1                    | 4.8ac    | 19ft   | Low      | [Norrick]
X-97     | Rock 2                    | 7.7ac    | 17ft   | Low      | [Norrick]
X-98     | Shamrock                  | 18.2ac   | 33ft   | Moderate | [Norrick]
X-99     | Amlen                     | 7.3ac    | 9ft    | Moderate | [Norrick]
Z-23     | Margo                     | 11.1ac   | 29ft   | Low      | [Norrick]
Z-24     | Governor Dern             | 32.0ac   | 9ft    | High     | [Norrick]
Z-25     | Rainbow                   | 17.9ac   | 15ft   | High     | [Norrick]
Z-28     | Palisade                  | 22.7ac   | 45ft   | High     | [Norrick]
Z-29     | Lost                      | 14.0ac   | 15ft   | Moderate | [Norrick]
Z-30     | Powell                    | 22.4ac   | 15ft   | Moderate | [Norrick]
Z-36     | Everman                   | 7.8ac    | 7ft    | Moderate | [Norrick]
Z-38     | Daynes                    | ?ac      | ?ft    | ?        | 
Z-39     | Dale                      | 12.9ac   | 25ft   | High     | [Norrick]
Z-40     | Dean                      | 24.0ac   | 44ft   | Moderate | [Norrick]
Z-41     | Jean                      | 23.2ac   | 23ft   | Moderate | [Norrick]
Z-44     | Allen                     | 15.2ac   | 16ft   | Low      | [Norrick]
Z-46     | Bedground                 | 2.0ac    | 15ft   | Moderate | [Norrick]

--- Sheep Creek and Carter Creek Drainages ---
GR-1     | Jesson                    | 25.5ac   | 56ft   | High     | [Norrick]
GR-10    | Anson Upper               | 7.7ac    | 58ft   | Moderate | [Norrick]
GR-101   | Mystery                   | 10.2ac   | 25ft   | Moderate | [Norrick]
GR-112   | Hidden                    | 4.3ac    | 8ft    | Low      | [Norrick]
GR-115   | Gail                      | 4.5ac    | 25ft   | Low      | [Norrick]
GR-116   | Columbine                 | 5.7ac    | 5ft    | Low      | [Norrick]
GR-12    | Clear                     | 10.2ac   | 25ft   | Low      | [Norrick]
GR-17    | Candy                     | ?ac      | ?ft    | ?        | 
GR-18    | EWE                       | 3.0ac    | 10ft   | Low      | [Norrick]
GR-2     | Tamarack                  | 79.1ac   | 90ft   | High     | [Norrick]
GR-22    | Bummer                    | 1.9ac    | 6ft    | Low      | [Norrick]
GR-25    | Judy                      | 4.7ac    | 24ft   | Low      | [Norrick]
GR-27    | Lower Potter              | 3.4ac    | 16ft   | Moderate | [Norrick]
GR-28    | Upper Potter              | 21.3ac   | 75ft   | Low      | [Norrick]
GR-29    | Lower Teepee              | ?ac      | ?ft    | ?        | 
GR-3     | Spirit Lake               | ?ac      | ?ft    | ?        | 
GR-30    | Upper Teepee              | 6.5ac    | 28ft   | Moderate | [Norrick]
GR-32    | One Fish                  | 4.5ac    | 35ft   | Low      | [Norrick]
GR-33    | Red Lake                  | 20.9ac   | 57ft   | Low      | [Norrick]
GR-4     | Lost                      | 3.2ac    | 7ft    | Low      | [Norrick]
GR-6     | Dagget                    | 42.6ac   | 29ft   | High     | [Norrick]
GR-7     | Hidden                    | 8.5ac    | 26ft   | Low      | [Norrick]
GR-9     | Anson Lower               | 14.5ac   | 20ft   | Moderate | [Norrick]

--- Swift Creek Drainage ---
S-15     | Lily                      | 20.0ac   | 39ft   | High     | [Norrick]
S-2      | (No name)                 | ?ac      | ?ft    | ?        | 
S-3      | (No name)                 | ?ac      | ?ft    | ?        | 
X-16     | Timothy East              | 40.0ac   | 35ft   | High     | [Norrick]
X-17     | Carrol Lower              | 9.0ac    | 7ft    | Moderate | [Norrick]
X-18     | Carrol Upper              | 35.0ac   | 48ft   | Moderate | [Norrick]
X-19     | Timothy West              | 45.0ac   | 45ft   | Moderate | [Norrick]
X-20     | Timothy Center            | 10.0ac   | 18ft   | High     | [Norrick]
X-21     | Carrol East               | 10.0ac   | 19ft   | Moderate | [Norrick]
X-22 (alt) | (No name)                 | ?ac      | ?ft    | ?        | 
X-23     | Farmers                   | 63.0ac   | 24ft   | Moderate | [Norrick]
X-24     | (No name)                 | 21.4ac   | 30ft   | Low      | [Norrick]
X-25     | (No name)                 | 15.9ac   | 27ft   | Moderate | [Norrick]
X-26     | (No name)                 | 7.7ac    | 23ft   | Low      | [Norrick]
X-49     | Twin                      | 14.0ac   | 15ft   | Moderate | [Norrick]
X-51     | (No name)                 | 5.0ac    | 8ft    | Low      | [Norrick]
X-54     | White Miller              | 11.0ac   | 18ft   | High     | [Norrick]
X-55     | Deer                      | 12.0ac   | 4ft    | High     | [Norrick]
X-56     | Grayling                  | 8.5ac    | 33ft   | High     | [Norrick]

--- Uinta River Drainage ---
U-1      | Chain 3 (upper)           | 51.0ac   | 44ft   | Moderate | [Norrick]
U-100    | (No name)                 | ?ac      | ?ft    | ?        | 
U-13     | Mt. Emmons                | 15.5ac   | 21ft   | Low      | [Norrick]
U-14     | Allred                    | 34.0ac   | 30ft   | Moderate | [Norrick]
U-15     | Roberts                   | 23.3ac   | 38ft   | Low      | [Norrick]
U-16     | Atwood                    | 200.0ac  | 40ft   | Moderate | [Norrick]
U-17     | Carrot                    | 31.0ac   | 31ft   | Low      | [Norrick]
U-18     | B-29 Lake                 | ?ac      | ?ft    | ?        | 
U-19     | (No name)                 | 15.0ac   | 8ft    | Low      | [Norrick]
U-2      | Chain 2 (middle)          | 14.4ac   | 13ft   | Moderate | [Norrick]
U-21     | George Beard              | 7.4ac    | 15ft   | Low      | [Norrick]
U-22     | U- 22                     | ?ac      | ?ft    | ?        | 
U-23     | Lily                      | 5.3ac    | 15ft   | Low      | [Norrick]
U-25     | Kidney East               | 13.7ac   | 12ft   | High     | [Norrick]
U-26     | Kidney West               | 20.0ac   | 4ft    | High     | [Norrick]
U-27     | Samuals                   | 4.8ac    | 7ft    | Low      | [Norrick]
U-3      | Chain 1 (Lower)           | 62.0ac   | 38ft   | High     | [Norrick]
U-32     | Bowden                    | 4.5ac    | 14ft   | Moderate | [Norrick]
U-33     | Rainbow                   | 35.1ac   | 20ft   | Moderate | [Norrick]
U-34     | Davis South               | 6.1ac    | 4ft    | Low      | [Norrick]
U-35     | (No name)                 | 4.4ac    | 5ft    | Moderate | [Norrick]
U-36     | (No name)                 | 4.6ac    | 7ft    | Moderage | [Norrick]
U-37     | (No name)                 | 6.3ac    | 12ft   | Low      | [Norrick]
U-38     | (No name)                 | 15.7ac   | 13ft   | Moderate | [Norrick]
U-39     | (No name)                 | ?ac      | ?ft    | ?        | 
U-4      | Chain 4                   | 13.5ac   | 31ft   | Low      | [Norrick]
U-41     | Verlie                    | 10.6ac   | 12ft   | Moderate | [Norrick]
U-42     | (No name)                 | 7.6ac    | 7ft    | Low      | [Norrick]
U-45     | (No name)                 | 5.0ac    | 5ft    | Low      | [Norrick]
U-46     | Davis North               | 7.3ac    | 7ft    | Low      | [Norrick]
U-47     | Fox                       | 102.0ac  | 47ft   | Moderate | [Norrick]
U-48     | Crescent                  | 31.0ac   | 23ft   | Moderate high | [Norrick]
U-49     | Dollar                    | 11.5ac   | 6ft    | Moderate | [Norrick]
U-5      | Oke Doke                  | 12.9ac   | 38ft   | Low      | [Norrick]
U-50     | (No name)                 | 18.0ac   | 8ft    | Low      | [Norrick]
U-54     | Brook                     | 10.0ac   | 8ft    | Low      | [Norrick]
U-59     | Divide                    | 18.9ac   | 39ft   | Low      | [Norrick]
U-73     | Milk                      | 13.1ac   | 35ft   | Low      | [Norrick]
U-74     | Beard                     | 9.0ac    | 15ft   | Low      | [Norrick]
U-75     | (No name)                 | 6.9ac    | 18ft   | Low      | [Norrick]
U-76     | (No name)                 | 6.0ac    | 15ft   | Low      | [Norrick]
U-79     | U- 79                     | ?ac      | ?ft    | ?        | 
U-8      | Lily Pad                  | 3.7ac    | 7ft    | Moderate | [Norrick]
U-82     | Gilbert                   | 14.6ac   | 20ft   | Low      | [Norrick]
U-85     | Craig                     | 9.3ac    | 14ft   | Low      | [Norrick]
U-88     | (No name)                 | 14.0ac   | 18ft   | Low      | [Norrick]
U-89     | (No name)                 | 11.5ac   | 15ft   | Low      | [Norrick]
U-9      | Pippen                    | 3.2ac    | 3ft    | Moderate | [Norrick]
U-91     | U- 91                     | ?ac      | ?ft    | ?        | 
U-93     | (No name)                 | 11.1ac   | 8ft    | Very low | [Norrick]
U-94     | Albert                    | 7.0ac    | 8ft    | Low      | [Norrick]
U-98     | Penny Nickell             | 11.5ac   | 43ft   | Low      | [Norrick]
U-99     | WALL L                    | ?ac      | ?ft    | ?        | 

--- Weber River Drainage ---
W-14     | (No name)                 | ?ac      | ?ft    | ?        | 
W-15     | (No name)                 | ?ac      | ?ft    | ?        | 
W-16     | (No name)                 | ?ac      | ?ft    | Low      | [Norrick]
W-17     | (No name)                 | ?ac      | ?ft    | ?        | 
W-18     | (No name)                 | ?ac      | ?ft    | ?        | 
W-20     | Divide #2                 | 3.5ac    | 10ft   | Low      | [Norrick]
W-21     | Little Hidden             | 8.0ac    | 28ft   | Moderate | [Norrick]
W-22     | Peter                     | 3.0ac    | 13ft   | Low      | [Norrick]
W-23     | Lovenia                   | 2.5ac    | 11ft   | High     | [Norrick]
W-24     | Ibantik                   | 10.2ac   | 28ft   | High     | [Norrick]
W-25     | Erickson South            | 10.0ac   | 12ft   | Moderate | [Norrick]
W-26     | Erickson North            | 9.0ac    | 12ft   | High     | [Norrick]
W-27     | Meadow                    | 29.0ac   | 46ft   | High     | [Norrick]
W-28     | Jerry                     | 3.2ac    | 16ft   | Low      | [Norrick]
W-29     | Anchor                    | 13.0ac   | 50ft   | Moderate | [Norrick]
W-30     | Abes                      | 21.6ac   | 62ft   | High     | [Norrick]
W-31     | Neil                      | 1.1ac    | 20ft   | Low      | [Norrick]
W-32     | Olsen                     | 7.0ac    | 13ft   | Moderate | [Norrick]
W-33     | Rhoads                    | 7.5ac    | 32ft   | Moderate | [Norrick]
W-34     | Adax                      | 5.0ac    | 10ft   | Low      | [Norrick]
W-35     | Dean                      | 12.0ac   | 16ft   | High     | [Norrick]
W-36     | Notch                     | 20.2ac   | 57ft   | Moderate | [Norrick]
W-37     | Bench                     | ?ac      | ?ft    | ?        | 
W-38     | Reids                     | 3.0ac    | 8ft    | Low      | [Norrick]
W-39     | Fran                      | 3.0ac    | 8ft    | Moderate | [Norrick]
W-40     | Kamas                     | 17.1ac   | 42ft   | Moderate | [Norrick]
W-41     | Lofty                     | 4.0ac    | 20ft   | Moderate | [Norrick]
W-42     | Cuberant #1               | 3.5ac    | 18ft   | Moderate | [Norrick]
W-43     | Cuberant #2               | 3.2ac    | 6ft    | Moderate | [Norrick]
W-44     | Cuberant #3               | 3.5ac    | 24ft   | Moderate | [Norrick]
W-45     | Cuberant #4               | 22.0ac   | 25ft   | Moderate | [Norrick]
W-46     | Cuberant #5               | 5.0ac    | 15ft   | Low      | [Norrick]
W-47     | Fish                      | 46.0ac   | 38ft   | High     | [Norrick]
W-48     | Round                     | 5.0ac    | 36ft   | Moderate | [Norrick]
W-49     | Sand                      | 19.3ac   | 41ft   | Low      | [Norrick]
W-5      | (No name)                 | ?ac      | ?ft    | ?        | 
W-51     | Carol                     | 3.0ac    | 25ft   | Low      | [Norrick]
W-52     | (No name)                 | 3.6ac    | 25ft   | Moderate | [Norrick]
W-53     | (No name)                 | 2.2ac    | 9ft    | Low      | [Norrick]
W-54     | (No name)                 | ?ac      | ?ft    | ?        | 
W-57     | (No name)                 | 3.0ac    | 8ft    | Moderate | [Norrick]
W-58     | Jean                      | 3.0ac    | 25ft   | Low      | [Norrick]
W-59     | (No name)                 | 4.0ac    | 10ft   | Moderate | [Norrick]
W-60     | (No name)                 | ?ac      | ?ft    | ?        | 
W-61     | (No name)                 | ?ac      | ?ft    | ?        | 
W-62     | (No name)                 | 2.1ac    | 18ft   | Low      | [Norrick]
W-64     | Elkhorn                   | 1.5ac    | 10ft   | Moderate | [Norrick]
W-65     | Yellowpine Upper          | 3.0ac    | 12ft   | High     | [Norrick]
W-66     | Yellowpine Lower          | 2.0ac    | 7ft    | High     | [Norrick]
W-67     | Castle                    | 10.0ac   | 30ft   | Moderate | [Norrick]
W-68     | Arrowhead                 | 2.1ac    | 26ft   | Moderate | [Norrick]
W-69     | Shingle Mill Lake         | ?ac      | ?ft    | ?        | 
WR-1     | ROBB L                    | ?ac      | ?ft    | ?        | 
WR-33    | CIRQUE L                  | ?ac      | ?ft    | ?        | 

--- White Rocks Drainage ---
WR-12    | Larvae                    | 4.0ac    | 28ft   | High     | [Norrick]
WR-13    | Pole Creek Lake           | 5.0ac    | 10ft   | High     | [Norrick]
WR-14    | Upper Rock                | 15.0ac   | 28ft   | Low      | [Norrick]
WR-16    | Middle Rock               | 6.0ac    | 10ft   | Low      | [Norrick]
WR-17    | Lower Rock                | 12.0ac   | 39ft   | Moderate | [Norrick]
WR-18    | Paradise Park Reservoir   | 137.0ac  | 36ft   | High     | [Norrick]
WR-19    | (No name)                 | 10.0ac   | 18ft   | Low      | [Norrick]
WR-2     | RC #1                     | 10.0ac   | 16ft   | Low      | [Norrick]
WR-34    | (No name)                 | 9.0ac    | 20ft   | Low      | [Norrick]
WR-35    | Rassmussen #1             | 19.0ac   | 5ft    | Moderate | [Norrick]
WR-36    | Rassmussen #2             | 14.0ac   | 8ft    | Moderate | [Norrick]
WR-37    | (No name)                 | 3.0ac    | 13ft   | Moderate | [Norrick]
WR-4     | Quent                     | 57.0ac   | 44ft   | High     | [Norrick]
WR-40    | Wooley                    | 18.0ac   | 42ft   | Moderate | [Norrick]
WR-42    | Sand                      | 6.0ac    | 5ft    | Low      | [Norrick]
WR-43    | Dollar                    | 7.0ac    | 15ft   | Moderate | [Norrick]
WR-44    | Ted                       | 14.0ac   | 20ft   | High     | [Norrick]
WR-45    | Pearl                     | 2.5ac    | 15ft   | Low      | [Norrick]
WR-46    | Whiterocks Reservoir Lake | 35.0ac   | 42ft   | High     | [Norrick]
WR-48    | Watkins                   | 18.0ac   | 36ft   | Low      | [Norrick]
WR-49    | Cliff                     | 40.0ac   | 55ft   | Moderate | [Norrick]
WR-5     | Ogden                     | 14.0ac   | 21ft   | Low      | [Norrick]
WR-50    | Workman                   | 20.0ac   | 14ft   | Moderate | [Norrick]
WR-52    | Papoose                   | 8.0ac    | 22ft   | Moderate | [Norrick]
WR-53    | Mocassin                  | 11.0ac   | 27ft   | Moderate | [Norrick]
WR-54    | Wigwam                    | 4.0ac    | 14ft   | Moderate | [Norrick]
WR-55    | Walk Up                   | 13.0ac   | 60ft   | Low      | [Norrick]
WR-56    | Figure-Eight              | 3.0ac    | 5ft    | Low      | [Norrick]
WR-57    | Sharlee                   | 10.0ac   | 4ft    | Low      | [Norrick]
WR-58    | Elbow                     | 25.0ac   | 17ft   | Moderate | [Norrick]
WR-6     | Point (Adams)             | 16.0ac   | 21ft   | Low      | [Norrick]
WR-63    | Hidden                    | 12.0ac   | 27ft   | Moderate | [Norrick]
WR-64    | Chepeta                   | 50.0ac   | 60ft   | High     | [Norrick]
WR-65    | Hell Hole                 | 8.0ac    | 6ft    | Moderate | [Norrick]
WR-66    | Reader                    | 10.0ac   | 10ft   | Moderate | [Norrick]
WR-67    | Horseshoe                 | 12.0ac   | 14ft   | Low      | [Norrick]
WR-7     | Cleveland                 | 26.0ac   | 6ft    | High     | [Norrick]
WR-73    | (No name)                 | 8.0ac    | ?ft    | Low      | [Norrick]
WR-74    | (No name)                 | 4.0ac    | 14ft   | Low      | [Norrick]
WR-75    | (No name)                 | 3.0ac    | 8ft    | Low      | [Norrick]
WR-76    | (No name)                 | 8.0ac    | 7ft    | Unknown  | [Norrick]
WR-77    | (No name)                 | 4.0ac    | 15ft   | Low      | [Norrick]
WR-8     | Taylor                    | 25.0ac   | 53ft   | Low      | [Norrick]
WR-9     | (No name)                 | 3.0ac    | 12ft   | Low      | [Norrick]

--- Yellowstone Drainage ---
X-103    | Superior                  | 36.0ac   | 26ft   | Moderate | [Norrick]
X-104    | Little Superior           | 13.9ac   | 24ft   | Low      | [Norrick]
X-105    | (No name)                 | 8.1ac    | 14ft   | Low      | [Norrick]
X-106    | Five Point Reservoir      | 82.0ac   | 21ft   | Moderate | [Norrick]
X-107    | Tungsten                  | 13.0ac   | 13ft   | Moderate | [Norrick]
X-108    | North Star                | 14.0ac   | 15ft   | Moderate | [Norrick]
X-109    | Spider                    | 20.0ac   | 31ft   | High     | [Norrick]
X-110    | Bluebell                  | ?ac      | ?ft    | ?        | 
X-50     | X- 50                     | ?ac      | ?ft    | ?        | 
X-57     | (No name)                 | 8.8ac    | 30ft   | Low      | [Norrick]
X-58     | Swasey                    | 36.0ac   | 30ft   | High     | [Norrick]
X-59     | (No name)                 | 4.5ac    | 13ft   | Moderate | [Norrick]
X-60     | (No name)                 | 8.0ac    | 30ft   | Low      | [Norrick]
Y-16     | Doll                      | 42.5ac   | 47ft   | Low      | [Norrick]
Y-19     | (No name)                 | 6.2ac    | 15ft   | Low      | [Norrick]
Y-2      | (No name)                 | 1.8ac    | 20ft   | Low      | [Norrick]
Y-20     | (No name)                 | 5.0ac    | 20ft   | Low      | [Norrick]
Y-22     | Kings                     | 10.0ac   | ?ft    | Low      | [Norrick]
Y-24     | (No name)                 | ?ac      | ?ft    | ?        | 
Y-25     | Milk                      | 17.5ac   | 20ft   | Low      | [Norrick]
Y-31     | (No name)                 | 4.6ac    | 7ft    | Moderate | [Norrick]
Y-32     | (No name)                 | ?ac      | ?ft    | ?        | 
Y-33     | (No name)                 | ?ac      | ?ft    | ?        | 
Y-34     | Gem                       | 11.1ac   | 15ft   | Moderate | [Norrick]
Y-36     | (No name)                 | 14.0ac   | 15ft   | Low      | [Norrick]
Y-37     | (No name)                 | 13.0ac   | 12ft   | Low      | [Norrick]
Y-4      | (No name)                 | 5.8ac    | 12ft   | Low      | [Norrick]
Y-41     | Drift Reservoir           | 14.8ac   | ?ft    | Low      | [Norrick]
Y-5      | (No name)                 | 1.8ac    | 6ft    | Low      | [Norrick]
